lat,long,zip_code
48.8534,2.3488,75000.0
48.8592,2.3417,75001.0
48.8534,2.3488,75001.0
48.8655,2.3426,75002.0
48.8534,2.3488,75002.0
48.8637,2.3615,75003.0
48.8534,2.3488,75003.0
48.8601,2.3507,75004.0
48.8534,2.3488,75004.0
48.8448,2.3471,75005.0
48.8534,2.3488,75005.0
48.8493,2.33,75006.0
48.8534,2.3488,75006.0
48.8565,2.321,75007.0
48.8534,2.3488,75007.0
48.8763,2.3183,75008.0
48.8534,2.3488,75008.0
48.8718,2.3399,75009.0
48.8534,2.3488,75009.0
48.8709,2.3561,75010.0
48.8534,2.3488,75010.0
48.8574,2.3795,75011.0
48.8534,2.3488,75011.0
48.8412,2.3876,75012.0
48.8534,2.3488,75012.0
48.8322,2.3561,75013.0
48.8534,2.3488,75013.0
48.8331,2.3264,75014.0
48.8534,2.3488,75014.0
48.8412,2.3003,75015.0
48.8534,2.3488,75015.0
48.8637,2.2769,75016.0
48.8534,2.3488,75016.0
48.8835,2.3219,75017.0
48.8534,2.3488,75017.0
48.8925,2.3444,75018.0
48.8534,2.3488,75018.0
48.8817,2.3822,75019.0
48.8534,2.3488,75019.0
48.8646,2.3984,75020.0
48.8534,2.3488,75020.0
48.8592,2.3417,75021.0
48.8592,2.3417,75023.0
48.8592,2.3417,75024.0
48.8592,2.3417,75026.0
48.8592,2.3417,75028.0
48.8592,2.3417,75029.0
48.8592,2.3417,75030.0
48.8592,2.3417,75031.0
48.8592,2.3417,75032.0
48.8592,2.3417,75033.0
48.8592,2.3417,75034.0
48.8592,2.3417,75035.0
48.8592,2.3417,75036.0
48.8592,2.3417,75038.0
48.8592,2.3417,75039.0
48.8592,2.3417,75040.0
48.8592,2.3417,75041.0
48.8592,2.3417,75042.0
48.8592,2.3417,75043.0
48.8592,2.3417,75044.0
48.8592,2.3417,75045.0
48.8592,2.3417,75046.0
48.8592,2.3417,75047.0
48.8592,2.3417,75048.0
48.8592,2.3417,75049.0
48.8592,2.3417,75051.0
48.8592,2.3417,75052.0
48.8592,2.3417,75053.0
48.8592,2.3417,75054.0
48.8592,2.3417,75055.0
48.8592,2.3417,75056.0
48.8592,2.3417,75058.0
48.8592,2.3417,75059.0
48.8655,2.3426,75060.0
48.8655,2.3426,75061.0
48.8655,2.3426,75062.0
48.8655,2.3426,75063.0
48.8655,2.3426,75064.0
48.8655,2.3426,75065.0
48.8655,2.3426,75066.0
48.8655,2.3426,75067.0
48.8655,2.3426,75068.0
48.8655,2.3426,75069.0
48.8655,2.3426,75072.0
48.8655,2.3426,75073.0
48.8655,2.3426,75074.0
48.8655,2.3426,75075.0
48.8655,2.3426,75076.0
48.8655,2.3426,75077.0
48.8655,2.3426,75078.0
48.8655,2.3426,75079.0
48.8655,2.3426,75080.0
48.8655,2.3426,75081.0
48.8655,2.3426,75082.0
48.8655,2.3426,75083.0
48.8655,2.3426,75084.0
48.8655,2.3426,75085.0
48.8655,2.3426,75086.0
48.8655,2.3426,75087.0
48.8655,2.3426,75088.0
48.8655,2.3426,75089.0
